cdn_cliente,num_aval1,num_aval2,dt_inscricao,l_cpf,estrutura,Bloqueado,log_ativo,mot_ativo,cdn_repres,dat_usuario,origem,cdn_grupo_cliente,tipo_produtor,safra_crm,dt_implant_ini,cliente_novo,dt_ult_movto,safra_ult_movto,situacao,cliente_foco,log-utiliza-portal,data-ativacao,data-inativacao,log_ativo_pa,log_cliente_pet,cod_rep_secundario,apl_classif_produtor,apl_dt_valid_classif,cod_transp,log_participante_bayer,log_cooperativa
42,0,0,1996-03-01,False,Pequeno,False,True,,28019,(null),D,42,PRMED,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2000-01-04,False,2023-10-17,2023/2024,Ativo,False,False,(null),(null),False,False,0,50.0,9999-12-31,71238,False,False
43,0,0,1996-03-01,False,Pequeno,False,True,,2000,(null),D,43,PRMED,"2013/2014,2014/2014,2014/2015,2015/2015,2016/2017,2017/2018,2017/2017,2018/2018,2018/2019,2019/2019,2019/2020,2016/2016,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2024/2025,2024/2024,2025/2025",2000-01-04,False,2015-03-26,2014/2015,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,29,False,False
44,0,0,1996-03-01,False,Mini,False,True,,28000,(null),D,44,PRMED,",2013/2013,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2016/2016,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",1999-11-01,False,2023-03-08,2022/2023,Ativo,False,False,(null),(null),True,False,0,1.0,9999-12-31,76570,False,False
45,0,0,1996-03-01,False,GRANDE1,False,True,,28000,(null),D,45,PRMED,"2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2014-07-22,2014/2014,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71239,False,False
46,0,0,1996-03-01,False,Pequeno,False,True,,28019,(null),D,46,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2022-07-07,2022/2022,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71240,False,False
47,0,0,1996-03-01,False,Pequeno,False,True,,28010,(null),D,47,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2020-07-16,2020/2021,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71241,False,False
48,0,0,1996-03-01,False,PEQUENO,False,True,,28010,(null),D,48,PRMED,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2024,2023,2024/2025,2025/2025,2025/2026",2000-01-04,False,2022-04-22,2022/2022,Inativo,False,True,2018-03-01,(null),False,False,0,1.0,9999-12-31,71242,False,False
49,0,0,1996-03-01,False,MÉDIO,False,True,,28010,(null),D,49,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-21,2023/2024,Ativo,False,True,2017-05-20,(null),True,False,0,1.0,9999-12-31,71243,False,False
50,0,0,1996-03-01,False,Médio,False,True,,28010,(null),D,50,PRMED,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2022-06-08,2022/2022,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71244,False,False
51,0,0,1996-03-01,False,Pequeno,False,True,,28019,(null),D,51,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2020-10-15,2020/2021,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,76571,False,False
52,0,0,1996-03-01,False,Pequeno,False,True,,28010,(null),D,52,PRMED,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2000-01-04,False,2024-01-04,2024/2024,Ativo,False,False,(null),(null),True,False,0,1.0,9999-12-31,71245,False,False
53,0,0,1996-03-01,False,Mini,True,True,sem movimentação,28000,2007-09-06,D,53,PRMED,",2013/2013,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2016/2016,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,0,False,False
54,0,0,1996-03-01,False,Mini,True,False,EXCLUSÃO 24/07/13 FALECIMENTO,28000,2013-07-26,D,54,PRMED,",2013/2013",1999-11-01,False,2013-06-03,2013/2013,Inativo,False,False,(null),(null),False,False,0,0.0,(null),12553,False,False
55,0,0,1996-03-01,False,Pequeno,True,False,DEMISSAO EM 26/01/2015,28000,2015-02-06,D,55,PRMED,",2013/2013",2000-01-04,False,2014-09-13,2014/2015,Inativo,False,False,(null),(null),False,False,0,0.0,(null),76572,False,False
56,0,0,1996-03-01,False,Pequeno,False,True,,29002,(null),D,56,PRMAX,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-28,2023/2024,Ativo,False,True,2016-01-11,(null),True,False,0,1.0,9999-12-31,71246,False,False
57,0,0,1996-03-01,False,Pequeno,True,False,EXCL. em 05/06/06 - s/condiçõe,28008,2006-07-06,D,0,,,2000-01-04,False,2004-08-31,2004/2004,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
58,0,0,1996-03-01,False,Pequeno,False,True,,28019,(null),D,42,PRMED,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",1999-11-01,False,2023-01-30,2023/2023,Ativo,False,False,(null),(null),False,False,0,50.0,9999-12-31,71247,False,False
59,0,0,1996-03-01,False,Pequeno,False,True,,28018,(null),D,35,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-25,2023/2024,Ativo,False,True,2017-06-02,(null),True,False,0,1.0,9999-12-31,71248,False,False
60,0,0,1996-03-01,False,Mini,False,False,Falecido,0,(null),D,0,,,2000-01-04,False,2001-03-06,2000/2001,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
61,0,0,1996-03-01,False,Médio,False,True,,28017,(null),D,37,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2000-01-04,False,2023-09-23,2023/2024,Ativo,False,False,(null),(null),True,False,0,1.0,9999-12-31,71249,False,False
62,0,0,1996-03-01,False,Pequeno,False,True,,28019,(null),D,62,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-20,2023/2024,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71250,False,False
63,0,0,1996-03-01,False,Pequeno,False,True,,28019,(null),D,62,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-05-19,False,2023-09-14,2023/2024,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71251,False,False
64,0,0,1996-03-01,False,Pequeno,False,True,,29001,(null),D,64,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-27,2023/2024,Ativo,False,True,2015-12-14,(null),True,False,0,50.0,9999-12-31,71252,False,False
65,0,0,1996-03-01,False,Grande1,False,True,,28000,(null),D,65,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2018-10-05,2018/2019,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71253,False,False
66,0,0,1996-03-01,False,Nenhum,True,True,Executado,28000,2007-09-06,D,66,PRMED,",2013/2013,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2016/2016,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2002-10-07,2002/2002,Inativo,False,True,2016-12-22,(null),False,False,0,1.0,9999-12-31,0,False,False
67,0,0,1996-03-01,False,Pequeno,False,True,,28017,(null),D,2408,PRMED,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2022-02-09,2022/2022,Inativo,False,True,2020-12-22,(null),False,False,0,1.0,9999-12-31,71254,False,False
68,0,0,1996-03-01,False,Grande3,False,True,,29001,(null),D,68,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2000-01-04,False,2023-09-15,2023/2023,Ativo,False,True,2016-01-26,(null),True,False,0,50.0,9999-12-31,71255,False,False
69,0,0,1996-03-01,False,Médio,False,True,,28019,(null),D,69,PRMED,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2000-01-04,False,2023-11-21,2023/2024,Ativo,False,False,(null),(null),True,False,0,1.0,9999-12-31,71256,False,False
70,0,0,1996-03-01,False,Pequeno,True,False,FALEC.12/10/10-EXC.13/12/10,28010,2010-12-13,D,1665,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2010-10-01,2010/2011,Inativo,False,False,(null),(null),False,False,0,0.0,(null),71257,False,False
71,0,0,1996-03-01,False,Médio,False,True,,28016,(null),D,71,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2023,2024",2000-01-04,False,2023-10-10,2023/2023,Ativo,False,False,(null),(null),True,False,0,50.0,9999-12-31,71258,False,False
72,0,0,1996-03-01,False,Pequeno,False,False,Demissionário,0,(null),D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
73,0,0,1996-03-01,False,MINI,True,True,sem movimentação,28000,2007-09-06,D,73,PRMED,",2013/2013,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2016/2016,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",1999-11-01,False,2005-03-19,2004/2005,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,0,False,False
562443,0,0,2022-06-10,True,Mini,True,False,COOP 14.126,57000,2023-04-25,D,562443,PRMIN,"2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2001-11-29,False,2023-02-07,2023/2023,Ativo,True,False,(null),(null),False,False,0,0.0,9999-12-31,18513,False,False
562445,0,0,2022-06-10,False,PEQUENO,False,True,,68007,(null),D,553373,,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017",2022-06-10,True,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,61860,False,False
563455,0,0,2022-07-26,True,MINI,False,True,,68007,(null),D,563455,PRMIN,"2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021",2008-07-03,False,2020-07-24,2020/2020,Ativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,76376,False,False
563454,0,0,2022-07-26,True,Nenhum,False,True,,18000,(null),D,563454,,,2022-07-26,True,(null),,Inativo,False,False,(null),(null),False,False,0,,(null),0,False,False
74,0,0,1996-03-01,False,Grande2,True,False,Demissão - 06/04/2019,28006,2019-08-08,D,74,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021",1999-11-01,False,2018-11-23,2018/2019,Ativo,False,True,2015-12-08,(null),False,False,0,50.0,9999-12-31,71259,False,False
75,0,0,1996-03-01,False,MINI,False,True,,28000,(null),D,75,PRMED,",2013/2013,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2016/2016,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2016-02-11,2016/2016,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,1931,False,False
76,0,0,1996-03-01,False,Grande,True,False,DEMISSÃO 11/05/10,28007,2010-05-24,D,76,PRMED,,1999-11-01,False,2002-04-29,2001/2002,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
77,0,0,1996-03-01,False,Pequeno,False,False,Falecido,0,(null),D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
78,0,0,1996-03-01,False,Mini,True,False,Demissionário,0,(null),D,78,,,2000-01-04,False,2001-02-24,2000/2001,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,75155,False,False
79,0,0,1996-03-01,False,Médio,False,True,,28019,(null),D,79,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-27,2023/2024,Ativo,False,False,(null),(null),True,False,0,1.0,9999-12-31,71260,False,False
80,0,0,1996-03-01,False,Pequeno,False,False,FALEC 24/08/07 - BX 17/10/07.,28009,(null),D,0,,,2000-01-04,False,2001-03-19,2000/2001,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
81,0,0,1996-03-01,False,Pequeno,True,False,PEDIDO DEMISSAO EM 21/12/05,28007,2005-08-18,D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
82,0,0,1996-03-01,False,Pequeno,True,False,Demissionário,28000,2021-02-01,D,0,,2020/2021,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,0,False,False
83,0,0,1996-03-01,False,Pequeno,False,False,Demissionário,0,(null),D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),9244,False,False
84,0,0,1996-03-01,False,Médio,False,True,,28017,(null),D,84,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-27,2023/2024,Ativo,False,True,2016-02-12,(null),True,False,0,50.0,9999-12-31,71261,False,False
85,0,0,1996-03-01,False,PEQUENO,False,True,,28000,(null),D,85,PRMED,",2013/2013,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2016/2016,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2016-01-15,2015/2016,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71262,False,False
86,0,0,1996-03-01,False,Pequeno,True,False,EXCLUSÃO 29/08/06.,28000,2010-07-28,D,86,,,2000-01-04,False,2006-08-12,2006/2006,Inativo,False,False,(null),(null),False,False,0,0.0,(null),11323,False,False
87,0,0,1996-03-01,False,Pequeno,True,False,EXCLUSÃO 18/11/16,28010,2016-12-07,D,87,PRMIN,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2017/2017,2017/2018",1999-11-01,False,2016-07-25,2016/2017,Inativo,False,False,(null),(null),False,False,0,0.0,(null),71263,False,False
88,0,0,1996-03-01,False,Pequeno,True,False,DEMISSÃO - 11/03/03,28000,(null),D,0,,"2015/2015,2014/2015,2014/2014,2013/2014,2013/2013",2000-01-04,False,2002-09-22,2002/2002,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
89,0,0,1996-03-01,False,Mini,True,False,DEMISSÃO 27/07/2021,28010,2021-07-27,D,89,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022",2000-01-04,False,2020-01-13,2020/2020,Ativo,False,True,2016-02-11,(null),False,False,0,1.0,9999-12-31,71264,False,False
90,0,0,1996-03-01,False,Pequeno,True,False,DEMISSÃO - 01/05/04,28000,2004-05-13,D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
